,Date,Albuquerque,Baltimore,Boston,Charlotte,Chicago,Dallas,Detroit,Las Vegas,Los Angeles,Miami,New Orleans,New York,Philadelphia,Phoenix,Portland,San Diego,San Francisco,San Juan,Seattle,St Louis,Tampa
0,19610101,31.01,38.03,35.51,45.05,23.45,39.47,26.42,39.02,51.98,75.02,44.96,41.0,39.56,47.48,38.57,54.05,46.49,76.00999999999999,37.58,31.01,59.0
1,19610102,27.5,32.0,30.56,40.010000000000005,27.5,39.02,23.0,36.5,50.0,68.0,46.49,32.45,28.49,47.48,32.45,53.51,42.53,77.0,32.99,31.01,56.48
2,19610103,27.5,33.53,26.509999999999998,35.96,12.559999999999999,38.57,21.47,39.02,55.58,62.059999999999995,46.94,32.45,30.02,50.54,29.48,56.03,40.46,76.55,32.0,32.54,53.51
3,19610104,29.57,27.5,25.43,36.95,16.520000000000003,41.54,14.990000000000002,37.49,57.02,58.01,45.5,26.96,25.97,50.99,32.99,57.02,40.010000000000005,76.55,40.010000000000005,40.46,48.02
4,19610105,31.55,29.48,23.99,41.0,25.43,52.97,27.5,40.010000000000005,58.01,62.959999999999994,44.96,27.05,26.96,54.5,43.519999999999996,57.02,39.47,76.00999999999999,47.03,44.96,52.97
5,19610106,32.54,37.49,36.95,41.989999999999995,37.04,48.56,36.5,41.989999999999995,57.02,67.00999999999999,56.93,37.94,34.52,53.51,45.5,59.99,39.47,76.55,44.06,45.95,60.53
6,19610107,33.98,44.96,42.44,43.97,34.43,48.02,36.5,43.519999999999996,52.97,67.46,54.5,44.510000000000005,42.53,50.45,46.04,59.45,42.08,75.47,49.46,41.0,64.49000000000001
7,19610108,33.98,36.5,35.51,41.54,18.5,41.45,25.07,42.980000000000004,59.540000000000006,68.54,50.0,35.06,33.53,53.96,48.47,59.99,50.45,77.99000000000001,44.96,26.96,60.980000000000004
8,19610109,32.99,28.94,23.45,35.51,18.5,39.56,20.48,42.980000000000004,59.0,69.44,45.5,23.99,24.98,55.49,48.47,60.440000000000005,51.98,76.00999999999999,49.01,25.97,58.55
9,19610110,32.0,30.47,23.99,33.44,31.01,41.989999999999995,28.49,48.02,59.0,68.99000000000001,46.49,27.5,25.07,52.52,48.47,62.959999999999994,48.47,77.0,50.54,37.49,59.99
10,19610111,35.96,35.51,34.52,40.010000000000005,34.52,42.53,32.99,47.03,65.03,68.0,54.5,34.52,33.53,55.94,46.04,64.58,47.03,74.48,46.04,40.55,65.48
11,19610112,34.52,39.56,29.93,43.519999999999996,36.05,46.94,32.0,42.980000000000004,59.0,70.52,55.94,37.04,34.52,53.51,39.92,61.519999999999996,49.46,76.00999999999999,43.43,40.010000000000005,66.02
12,19610113,36.05,36.05,31.55,41.989999999999995,40.46,50.0,38.48,45.05,55.49,72.05,59.45,37.49,33.53,51.08,47.03,59.0,46.04,73.94,46.04,42.53,68.0
13,19610114,35.51,41.0,47.48,48.47,31.46,42.53,36.5,48.56,66.02,71.06,57.47,45.5,41.989999999999995,52.07,53.51,61.43,46.04,74.48,51.98,41.0,66.47
14,19610115,39.56,41.0,33.98,51.98,32.0,44.510000000000005,31.01,50.99,64.49000000000001,69.53,51.08,37.49,37.49,54.5,52.97,65.57,45.5,76.46,50.0,36.95,64.49000000000001
15,19610116,38.48,33.44,28.49,44.96,28.94,48.47,31.46,50.0,66.47,66.02,47.03,30.56,30.47,58.55,46.04,67.00999999999999,43.519999999999996,75.47,43.43,35.51,59.0
16,19610117,35.96,38.93,35.96,43.43,38.48,55.49,33.44,49.01,67.46,59.99,50.99,35.51,32.99,57.47,47.03,67.55,44.06,76.46,46.04,41.989999999999995,53.96
